timestamp,workers,paragraphs,run_index,jobs,successes,failures,throughput,avg_latency,p95_latency,total_duration,concurrency,sentences_per_section,top_n
1763222270.391136,3,50,0,100,100,0,117.63023299500205,0.061976825749999645,0.13850737289999895,0.8501215839999983,8,10,10
1763222271.830104,3,50,1,100,99,1,227.60094445012095,0.030151501686868896,0.11468337529999814,0.43497183299999875,8,10,10
1763222273.266355,3,50,2,100,99,1,228.3044690260829,0.030713075353535402,0.1150550294999995,0.4336314589999972,8,10,10
1763222274.708898,3,50,3,100,100,0,227.67372175468975,0.03386466506000005,0.11330524785000104,0.43922504200000034,8,10,10
1763222276.174878,3,50,4,100,100,0,215.2457682208415,0.029446718320000044,0.11317635734999883,0.4645852080000026,8,10,10
1763222277.632341,3,50,5,100,100,0,221.71849013033957,0.03271971539000017,0.11200120895000368,0.45102237500000086,8,10,10
1763222279.1219342,3,50,6,100,100,0,206.50311003595738,0.035011962019999746,0.11516051875000226,0.48425420800000296,8,10,10
1763222280.673461,3,50,7,100,100,0,181.7179065733721,0.03628805252000003,0.11697676460000021,0.5503035000000018,8,10,10
1763222282.1746078,3,50,8,100,100,0,201.66208193973299,0.03311987503000019,0.11590845564999783,0.49587904199999855,8,10,10
1763222283.676907,3,50,9,100,98,2,197.2478391423746,0.035970628806122236,0.11635594924999726,0.4968368749999996,8,10,10
1763222285.501177,3,100,0,100,100,0,121.43720942208552,0.06398124965000002,0.12110950350000049,0.8234708329999982,8,10,10
1763222287.419297,3,100,1,100,100,0,109.6150183536646,0.06363121049000008,0.12239307410000073,0.9122837500000003,8,10,10
1763222288.8148422,3,100,2,100,100,0,255.65699650213264,0.03001810954999968,0.11293285830000208,0.3911490839999985,8,10,10
1763222290.493642,3,100,3,100,100,0,147.48638025591268,0.048764688719999894,0.12366423089999898,0.678028709000003,8,10,10
1763222292.4484968,3,100,4,100,100,0,105.34817109649157,0.06718557366999917,0.12644039695000053,0.9492333749999986,8,10,10
1763222294.027328,3,100,5,100,100,0,173.12829536942172,0.04338212920999915,0.12470363574999759,0.5776063339999951,8,10,10
1763222295.624445,3,100,6,100,100,0,168.33713214128235,0.0424973329399996,0.11750450175000465,0.5940459999999987,8,10,10
1763222297.2879071,3,100,7,100,100,0,151.014059408932,0.04776350573000002,0.1198089711500046,0.6621899999999954,8,10,10
1763222298.7737222,3,100,8,100,99,1,205.7457086952485,0.035565727303030745,0.1169656756000009,0.48117650000000367,8,10,10
1763222300.706789,3,100,9,100,100,0,107.4499289697407,0.06888813791999987,0.12704649199999665,0.930666041000002,8,10,10
1763222302.803721,3,200,0,100,100,0,91.27878725747209,0.08454561609000016,0.13564158510000543,1.0955447920000054,8,10,10
1763222304.875113,3,200,1,100,100,0,93.85243112991343,0.07609015583999998,0.12879336459999813,1.0655024999999938,8,10,10
1763222306.985507,3,200,2,100,100,0,90.29094000852932,0.08106192917999984,0.13256627739999977,1.1075308330000055,8,10,10
1763222309.06984,3,200,3,100,100,0,92.72397301825079,0.08141736503000033,0.13031411285000266,1.0784697500000036,8,10,10
1763222311.2064672,3,200,4,100,100,0,88.41169169472758,0.08504268453000058,0.13622250384999787,1.1310721249999958,8,10,10
1763222313.29318,3,200,5,100,100,0,92.48873185732752,0.07699253537999957,0.13126701629999182,1.0812127919999952,8,10,10
1763222315.2854369,3,200,6,100,100,0,101.43232155248508,0.07582100652999976,0.1323131568999983,0.9858790420000005,8,10,10
1763222317.3986251,3,200,7,100,100,0,90.03768977694098,0.08374824250000025,0.13929599050000047,1.1106459999999956,8,10,10
1763222319.475456,3,200,8,100,99,1,92.34432153308597,0.08386888139393989,0.12884612139999232,1.0720745829999885,8,10,10
1763222321.586442,3,200,9,100,100,0,90.45189080831507,0.0841339787700008,0.1326528964999987,1.105560084000004,8,10,10
1763222323.8061922,3,400,0,100,100,0,82.07804929420796,0.09143380658000083,0.14013280980001,1.2183525420000052,8,10,10
1763222326.102458,3,400,1,100,99,1,76.69651084137139,0.09417128196969689,0.1436029753000014,1.2908018749999997,8,10,10
1763222328.310303,3,400,2,100,100,0,83.17956087342075,0.09139791414999962,0.1412231294999941,1.2022184170000116,8,10,10
1763222330.503736,3,400,3,100,100,0,84.08550741689169,0.09073782296000076,0.13978698540000423,1.1892655829999939,8,10,10
1763222332.8286731,3,400,4,100,100,0,75.6208257488513,0.0931721103500017,0.14247587470000128,1.322387040999999,8,10,10
1763222335.143588,3,400,5,100,100,0,76.34189972330145,0.0950424983100001,0.13931086990001373,1.3098966669999896,8,10,10
1763222337.563921,3,400,6,100,100,0,70.72905271081596,0.10344436948999941,0.2228993330499939,1.4138461660000132,8,10,10
1763222339.771171,3,400,7,100,100,0,83.12552817181276,0.09017648095999917,0.1385867103499969,1.2029998750000033,8,10,10
1763222342.18819,3,400,8,100,100,0,70.66072070739824,0.10063213703000073,0.15272650564999282,1.415213417000004,8,10,10
1763222344.4790359,3,400,9,100,100,0,77.8395780783508,0.09123679421000092,0.1379881655000062,1.284693500000003,8,10,10
1763222347.091174,3,600,0,100,100,0,62.24438952414516,0.11739427501999955,0.22692468894999462,1.6065704999999895,8,10,10
1763222349.7637608,3,600,1,100,100,0,59.989794212263995,0.12389225341000057,0.22917787080000593,1.6669502089999924,8,10,10
1763222352.289978,3,600,2,100,100,0,65.74402414827459,0.1122774950800003,0.15271401729999068,1.521050791999997,8,10,10
1763222354.858797,3,600,3,100,100,0,63.97334102932607,0.1189841700199996,0.21680266185001146,1.5631511250000045,8,10,10
