timestamp,workers,paragraphs,run_index,jobs,successes,failures,throughput,avg_latency,p95_latency,total_duration,concurrency,sentences_per_section,top_n
1763221660.738399,1,100,0,300,300,0,91.507346753351,0.08380350352999999,0.12414995835000191,3.2784252919999997,8,10,10
1763221665.1290932,1,100,1,300,300,0,88.63363714482104,0.08789094325666667,0.12454275174999498,3.384719499999999,8,10,10
1763221669.483756,1,100,2,300,300,0,89.58921216685923,0.08747076233000015,0.12474768574999881,3.3486174589999997,8,10,10
1763221673.756387,1,100,3,300,299,1,91.47112218982694,0.08441273018060222,0.1257887882999995,3.2687912079999997,8,10,10
1763221678.041106,1,100,4,300,300,0,91.37457631520203,0.08585813968666692,0.12411440030000236,3.2831889580000038,8,10,10
1763221682.422826,1,100,5,300,300,0,88.88034102289471,0.08607262805333375,0.1246137351000023,3.375324583000001,8,10,10
1763221686.610995,1,100,6,300,300,0,94.2731138786827,0.08186456921000004,0.124911336050004,3.1822434589999986,8,10,10
1763221690.867224,1,100,7,300,300,0,92.32690457065193,0.08299630904666656,0.12326468749999576,3.2493237090000022,8,10,10
1763221695.123992,1,100,8,300,300,0,92.30371969760239,0.08404044677999986,0.1232658502999975,3.250139874999995,8,10,10
1763221699.580779,1,100,9,300,299,1,86.54171943789207,0.08950077386956475,0.1243506538999945,3.454981042,8,10,10
1763221708.940259,2,100,0,300,300,0,97.5024965928638,0.08023554778333288,0.12471190979999917,3.0768442910000005,8,10,10
1763221712.999517,2,100,1,300,300,0,98.25868014109763,0.07778192875666586,0.12518873865000088,3.053165375000006,8,10,10
1763221715.56363,2,100,2,300,299,1,191.85135434062892,0.04074845291304407,0.11603107950001004,1.5584982499999995,8,10,10
1763221719.617446,2,100,3,300,300,0,98.3443724891452,0.07776561626000046,0.12363003330000098,3.050505000000001,8,10,10
1763221723.5907252,2,100,4,300,300,0,101.0446812898242,0.07703944920666729,0.1239150006500097,2.968983584,8,10,10
1763221727.526345,2,100,5,300,300,0,102.40625394938237,0.07667563271000001,0.1228065687500056,2.929508584000004,8,10,10
1763221731.6747909,2,100,6,300,300,0,95.43592530687455,0.07998066875000001,0.12438123124999123,3.143470334,8,10,10
1763221735.422411,2,100,7,300,300,0,109.44570053167125,0.07129299712666722,0.12293999310000174,2.741085291999994,8,10,10
1763221739.40099,2,100,8,300,299,1,100.58569157597397,0.07651392068561849,0.1237714871999998,2.9725897919999937,8,10,10
1763221743.127276,2,100,9,300,300,0,110.16397802371394,0.0713307634166668,0.12119169409999629,2.723213208000004,8,10,10
1763221752.316521,3,100,0,300,299,1,103.38078505604791,0.07570933819063569,0.12515241700000812,2.8922202500000083,8,10,10
1763221755.823222,3,100,1,300,300,0,119.80313948120438,0.06539095417999984,0.12149064584999181,2.504108000000002,8,10,10
1763221759.4531891,3,100,2,300,300,0,114.14017829689686,0.06740739805000023,0.1231804901999972,2.6283470419999873,8,10,10
1763221762.867851,3,100,3,300,299,1,124.04314265804413,0.063136789749164,0.12207372880000804,2.4104516669999896,8,10,10
1763221766.071483,3,100,4,300,300,0,136.5113840617709,0.05559799670999908,0.12105720624999564,2.197618917,8,10,10
